sector,province,date,employed
Agriculture,Western Cape,2008-01-01,193.24593364609595
Agriculture,Western Cape,2008-04-01,174.86032627776476
Agriculture,Western Cape,2008-07-01,129.6414712928056
Agriculture,Western Cape,2008-10-01,143.72581971946843
Agriculture,Western Cape,2009-01-01,157.56886157713458
Agriculture,Western Cape,2009-04-01,157.73210434014612
Agriculture,Western Cape,2009-07-01,137.76197238780048
Agriculture,Western Cape,2009-10-01,141.35189869447254
Agriculture,Western Cape,2010-01-01,187.69271424053304
Agriculture,Western Cape,2010-04-01,164.59285712802657
Agriculture,Western Cape,2010-07-01,157.05980829036494
Agriculture,Western Cape,2010-10-01,134.88019570405285
Agriculture,Western Cape,2011-01-01,132.88559792430718
Agriculture,Western Cape,2011-04-01,114.13175828978075
Agriculture,Western Cape,2011-07-01,125.24030226633016
Agriculture,Western Cape,2011-10-01,106.76628019739339
Agriculture,Western Cape,2012-01-01,142.46058601332015
Agriculture,Western Cape,2012-04-01,115.96124873251993
Agriculture,Western Cape,2012-07-01,138.00506183754518
Agriculture,Western Cape,2012-10-01,141.87312580932672
Agriculture,Western Cape,2013-01-01,139.98078108770034
Agriculture,Western Cape,2013-04-01,134.21154765266328
Agriculture,Western Cape,2013-07-01,158.61914995153614
Agriculture,Western Cape,2013-10-01,161.50116795644615
Agriculture,Western Cape,2014-01-01,159.7582294958236
Agriculture,Western Cape,2014-04-01,142.31178824712444
Agriculture,Western Cape,2014-07-01,133.43854743036653
Agriculture,Western Cape,2014-10-01,130.79269453867852
Agriculture,Western Cape,2015-01-01,252.37310167434407
Agriculture,Western Cape,2015-04-01,215.22037446736374
Agriculture,Western Cape,2015-07-01,245.13805243995645
Agriculture,Western Cape,2015-10-01,213.8114339671245
Agriculture,Western Cape,2016-01-01,227.98746311059637
Agriculture,Western Cape,2016-04-01,186.1399208887017
Agriculture,Western Cape,2016-07-01,196.28973885054117
Agriculture,Western Cape,2016-10-01,250.27532242499
Agriculture,Western Cape,2017-01-01,214.62093589177746
Agriculture,Western Cape,2017-04-01,179.5976735111256
Agriculture,Western Cape,2017-07-01,159.05362520195487
Agriculture,Western Cape,2017-10-01,192.83623031132714
Agriculture,Western Cape,2018-01-01,207.96540219791075
Agriculture,Western Cape,2018-04-01,181.26196676537694
Agriculture,Western Cape,2018-07-01,183.3876889830279
Agriculture,Western Cape,2018-10-01,212.7922156947583
Agriculture,Western Cape,2019-01-01,225.40924238026545
Agriculture,Western Cape,2019-04-01,181.80850733219273
Agriculture,Western Cape,2019-07-01,215.3432403098723
Agriculture,Western Cape,2019-10-01,235.87652467811154
Agriculture,Western Cape,2020-01-01,254.9205566626619
Agriculture,Western Cape,2020-04-01,197.4024374674706
Agriculture,Western Cape,2020-07-01,136.72851241462615
Agriculture,Western Cape,2020-10-01,178.1294559951684
Agriculture,Western Cape,2021-01-01,135.7898976773219
Agriculture,Western Cape,2021-04-01,184.96248454701342
Agriculture,Western Cape,2021-07-01,197.26448234974384
Agriculture,Western Cape,2021-10-01,177.89203438027243
Agriculture,Western Cape,2022-01-01,203.41767718781045
Agriculture,Western Cape,2022-04-01,187.13733786706652
Agriculture,Western Cape,2022-07-01,202.88100262293761
Agriculture,Western Cape,2022-10-01,222.64714568632544
Agriculture,Western Cape,2023-01-01,250.72887930656597
Agriculture,Western Cape,2023-04-01,200.29405736866866
Agriculture,Western Cape,2023-07-01,238.0272838587596
Agriculture,Western Cape,2023-10-01,233.8096452133688
Agriculture,Western Cape,2024-01-01,215.10615806261197
Agriculture,Western Cape,2024-04-01,161.98300371264062
Agriculture,Western Cape,2024-07-01,174.88411854833754
Agriculture,Western Cape,2024-10-01,192.8180715146554
Agriculture,Western Cape,2025-01-01,244.10014702435774
Agriculture,Western Cape,2025-04-01,202.12047398405636
Agriculture,Western Cape,2025-07-01,190.0765795713958
Agriculture,Western Cape,2025-10-01,214.60202778725238
Agriculture,Western Cape,2026-01-01,249.26954381337396
Agriculture,Eastern Cape,2008-01-01,77.33274506498762
Agriculture,Eastern Cape,2008-04-01,85.78822089217535
Agriculture,Eastern Cape,2008-07-01,75.41065836532118
Agriculture,Eastern Cape,2008-10-01,79.96748732126629
Agriculture,Eastern Cape,2009-01-01,81.92023757426759
Agriculture,Eastern Cape,2009-04-01,86.42921417842797
Agriculture,Eastern Cape,2009-07-01,72.26860675201567
Agriculture,Eastern Cape,2009-10-01,65.73392209300833
Agriculture,Eastern Cape,2010-01-01,61.585781083656
Agriculture,Eastern Cape,2010-04-01,55.61515371547723
Agriculture,Eastern Cape,2010-07-01,77.12259184895919
Agriculture,Eastern Cape,2010-10-01,65.57966230406075
Agriculture,Eastern Cape,2011-01-01,62.68439566601608
Agriculture,Eastern Cape,2011-04-01,60.1608309093756
Agriculture,Eastern Cape,2011-07-01,64.70319210124423
Agriculture,Eastern Cape,2011-10-01,63.393312809486055
Agriculture,Eastern Cape,2012-01-01,45.78858122248232
Agriculture,Eastern Cape,2012-04-01,58.43499869570545
Agriculture,Eastern Cape,2012-07-01,58.795200398813584
Agriculture,Eastern Cape,2012-10-01,58.30916116844639
Agriculture,Eastern Cape,2013-01-01,87.33711105514367
Agriculture,Eastern Cape,2013-04-01,85.89269547381319
Agriculture,Eastern Cape,2013-07-01,72.57156539387584
Agriculture,Eastern Cape,2013-10-01,67.27713684617426
Agriculture,Eastern Cape,2014-01-01,66.23094470316744
Agriculture,Eastern Cape,2014-04-01,70.59429398732004
Agriculture,Eastern Cape,2014-07-01,87.8187546100529
Agriculture,Eastern Cape,2014-10-01,87.83289311108166
