province,date,working_age_population,labour_force,employed,unemployed,outside_labour_force,participation_rate,absorption_rate,inactivity_rate,unemployment_rate,year,quarter,quarter_label,unemployment_rate_qoq,unemployment_rate_yoy
Eastern Cape,2008-01-01,3797.5775122370114,1807.2670775780762,1300.8189611608502,506.44811641722856,1990.3104346589382,47.6,34.3,52.410001593030685,28.0,2008,1,Q1 2008,,
Eastern Cape,2008-04-01,3810.283783943994,1793.4506872788772,1348.7068088768287,444.7438784020483,2016.833096665112,47.1,35.4,52.93130934662702,24.8,2008,2,Q2 2008,-3.1999999999999993,
Eastern Cape,2008-07-01,3823.293291381067,1790.2795269884616,1303.8425329005622,486.43699408789576,2033.0137643925923,46.8,34.1,53.17441298514832,27.2,2008,3,Q3 2008,2.3999999999999986,
Eastern Cape,2008-10-01,3836.333749356821,1796.9845808022637,1344.0672852218468,452.9172955804172,2039.3491685545364,46.8,35.0,53.1588047805658,25.2,2008,4,Q4 2008,-2.0,
Eastern Cape,2009-01-01,3849.38432586852,1813.2308599666997,1300.7358297038022,512.4950302628977,2036.153465901811,47.1,33.8,52.895561823197426,28.3,2009,1,Q1 2009,3.1000000000000014,0.3000000000000007
Eastern Cape,2009-04-01,3862.498794555681,1855.0805435516488,1341.1802187445226,513.9003248071269,2007.4182510040573,48.0,34.7,51.97200977337438,27.7,2009,2,Q2 2009,-0.6000000000000014,2.8999999999999986
Eastern Cape,2009-07-01,3875.32167120842,1698.9077794807154,1244.0507838544384,454.8569956262738,2176.4138917277232,43.8,32.1,56.160857765654306,26.8,2009,3,Q3 2009,-0.8999999999999986,-0.3999999999999986
Eastern Cape,2009-10-01,3887.5907128605177,1719.0294505534587,1261.456605225229,457.57284532822797,2168.5612623070338,44.2,32.4,55.78162472542871,26.6,2009,4,Q4 2009,-0.1999999999999993,1.4000000000000021
Eastern Cape,2010-01-01,3899.863618746603,1750.922435893947,1230.7471595839609,520.1752763099896,2148.9411828526713,44.9,31.6,55.10298289722807,29.7,2010,1,Q1 2010,3.099999999999998,1.3999999999999986
Eastern Cape,2010-04-01,3912.190968177175,1711.139678813236,1243.10702049319,468.03265832004536,2201.051289363969,43.7,31.8,56.26134581027888,27.4,2010,2,Q2 2010,-2.3000000000000007,-0.3000000000000007
Eastern Cape,2010-07-01,3924.120729796943,1746.5464744253854,1280.0146697673333,466.5318046580547,2177.5742553715736,44.5,32.6,55.49203007020284,26.7,2010,3,Q3 2010,-0.6999999999999993,-0.10000000000000142
Eastern Cape,2010-10-01,3935.4253610366045,1708.1059878476633,1294.279346921693,413.8266409259731,2227.3193731889373,43.4,32.9,56.596661576761555,24.2,2010,4,Q4 2010,-2.5,-2.400000000000002
Eastern Cape,2011-01-01,3946.7494758839453,1752.8673863103545,1284.933718799101,467.9336675112546,2193.8820895735894,44.4,32.6,55.58706228965347,26.7,2011,1,Q1 2011,2.5,-3.0
Eastern Cape,2011-04-01,3958.139682720268,1781.4203404605112,1275.7380162953634,505.68232416514405,2176.719342259754,45.0,32.2,54.993494842037094,28.4,2011,2,Q2 2011,1.6999999999999993,1.0
Eastern Cape,2011-07-01,3969.371631116327,1724.0782353794164,1262.753884569065,461.3243508103474,2245.2933957369314,43.4,31.8,56.56546185126334,26.8,2011,3,Q3 2011,-1.5999999999999979,0.10000000000000142
Eastern Cape,2011-10-01,3980.272379824639,1760.5993836818873,1287.2028819520335,473.3965017298583,2219.6729961427404,44.2,32.3,55.766861770390776,26.9,2011,4,Q4 2011,0.09999999999999787,2.6999999999999993
Eastern Cape,2012-01-01,3991.261852254893,1723.7537521282209,1241.8609401004535,481.89281202776584,2267.5081001266817,43.2,31.1,56.81181000049007,28.0,2012,1,Q1 2012,1.1000000000000014,1.3000000000000007
Eastern Cape,2012-04-01,4002.3849541261598,1763.0386989204144,1261.195131325988,501.8435675944187,2239.3462552057567,44.0,31.5,55.95029665745167,28.5,2012,2,Q2 2012,0.5,0.10000000000000142
Eastern Cape,2012-07-01,4012.487667327619,1811.3747121206911,1289.162275841224,522.2124362794649,2201.1129552069133,45.1,32.1,54.85656624263833,28.8,2012,3,Q3 2012,0.3000000000000007,2.0
Eastern Cape,2012-10-01,4021.3991593955843,1737.8775184622154,1225.4607515614516,512.416766900766,2283.521640933379,43.2,30.5,56.78425718065161,29.5,2012,4,Q4 2012,0.6999999999999993,2.6000000000000014
Eastern Cape,2013-01-01,4030.4375906414434,1812.3043975910416,1271.3628637819602,540.9415338090793,2218.133193050397,45.0,31.5,55.034550049849486,29.8,2013,1,Q1 2013,0.3000000000000007,1.8000000000000007
Eastern Cape,2013-04-01,4039.639396809634,1838.2390205987401,1283.2121326738436,555.026887924901,2201.4003762108905,45.5,31.8,54.4949724459814,30.2,2013,2,Q2 2013,0.3999999999999986,1.6999999999999993
Eastern Cape,2013-07-01,4048.3639870442103,1858.3748538161765,1293.106366353917,565.2684874622556,2189.989133228029,45.9,31.9,54.09565790619391,30.4,2013,3,Q3 2013,0.1999999999999993,1.5999999999999979
Eastern Cape,2013-10-01,4056.4367497005637,1844.2178462550926,1331.5598819001384,512.6579643549572,2212.2189034454955,45.5,32.8,54.536013746804535,27.8,2013,4,Q4 2013,-2.599999999999998,-1.6999999999999993
Eastern Cape,2014-01-01,4064.6329684166126,1887.6763100768449,1331.9289737062932,555.7473363705524,2176.9566583397723,46.4,32.8,53.558505165305505,29.4,2014,1,Q1 2014,1.5999999999999979,-0.40000000000000213
Eastern Cape,2014-04-01,4072.985402582378,1947.693565368124,1355.3627804252912,592.3307849428284,2125.291837214275,47.8,33.3,52.180197745513254,30.4,2014,2,Q2 2014,1.0,0.1999999999999993
Eastern Cape,2014-07-01,4081.3056166768724,1952.7138171699776,1377.141824751726,575.5719924182516,2128.59179950691,47.8,33.7,52.15467792486213,29.5,2014,3,Q3 2014,-0.8999999999999986,-0.8999999999999986
Eastern Cape,2014-10-01,4089.4107857890476,1884.4388947533548,1335.5646283847268,548.8742663686254,2204.971891035702,46.1,32.7,53.919060875390535,29.1,2014,4,Q4 2014,-0.3999999999999986,1.3000000000000007
Eastern Cape,2015-01-01,4097.615235430095,1929.4603792917012,1357.522585630507,571.9377936611986,2168.154856138414,47.1,33.1,52.91260236908807,29.6,2015,1,Q1 2015,0.5,0.20000000000000284
Eastern Cape,2015-04-01,4105.95196653934,1926.6232163913878,1365.7876459578197,560.8355704335688,2179.328750147949,46.9,33.3,53.077307477293544,29.1,2015,2,Q2 2015,-0.5,-1.2999999999999972
Eastern Cape,2015-07-01,4114.756790387198,1937.3729648628905,1371.9298948230687,565.4430700398262,2177.3838255243154,47.1,33.3,52.916464725468785,29.2,2015,3,Q3 2015,0.09999999999999787,-0.3000000000000007
Eastern Cape,2015-10-01,4123.8424497963915,1945.2018935153585,1411.3539767881139,533.8479167272485,2178.6405562810005,47.2,34.2,52.830353797541065,27.4,2015,4,Q4 2015,-1.8000000000000007,-1.7000000000000028
Eastern Cape,2016-01-01,4133.012441683793,1913.9965050629482,1366.2587395149758,547.7377655479709,2219.015936620851,46.3,33.1,53.69003766453524,28.6,2016,1,Q1 2016,1.2000000000000028,-1.0
Eastern Cape,2016-04-01,4142.31700475399,1891.6490110816133,1349.8178123170185,541.8311987645938,2250.667993672357,45.7,32.6,54.333552721553524,28.6,2016,2,Q2 2016,0.0,-0.5
Eastern Cape,2016-07-01,4153.2122849939415,2008.1682042862265,1442.6875518095908,565.4806524766318,2145.044080707722,48.4,34.7,51.64783144986658,28.2,2016,3,Q3 2016,-0.40000000000000213,-1.0
Eastern Cape,2016-10-01,4165.5177022038415,2021.2595671402148,1447.2557439880854,574.0038231521285,2144.2581350636165,48.5,34.7,51.47638993179441,28.4,2016,4,Q4 2016,0.1999999999999993,1.0
Eastern Cape,2017-01-01,4177.927764491636,2125.7565718296587,1441.851465097483,683.9051067321767,2052.1711926619996,50.9,34.5,49.119355535614226,32.2,2017,1,Q1 2017,3.8000000000000043,3.6000000000000014
Eastern Cape,2017-04-01,4190.44114566191,2158.564017158944,1415.6432275456318,742.9207896133104,2031.8771285029782,51.5,33.8,48.488382436895996,34.4,2017,2,Q2 2017,2.1999999999999957,5.799999999999997
Eastern Cape,2017-07-01,4202.989721341143,2202.34574260938,1421.0156960656868,781.3300465436934,2000.6439787317659,52.4,33.8,47.60049658394644,35.5,2017,3,Q3 2017,1.1000000000000014,7.300000000000001
Eastern Cape,2017-10-01,4215.312524153333,2144.374156066379,1390.7217611820315,753.65239488434,2070.9383680869587,50.9,33.0,49.128940172766825,35.1,2017,4,Q4 2017,-0.3999999999999986,6.700000000000003
Eastern Cape,2018-01-01,4227.750937261654,2168.465292750477,1397.3150376282822,771.1502551221954,2059.285644511184,51.3,33.1,48.708773886377784,35.6,2018,1,Q1 2018,0.5,3.3999999999999986
Eastern Cape,2018-04-01,4240.303540508338,2132.041802202024,1402.3135808954632,729.7282213065561,2108.2617383063184,50.3,33.1,49.71959479235114,34.2,2018,2,Q2 2018,-1.3999999999999986,-0.19999999999999574
Eastern Cape,2018-07-01,4252.718108393222,2158.0721517932375,1389.5413364462797,768.5308153469643,2094.645956599971,50.7,32.7,49.25428639316406,35.6,2018,3,Q3 2018,1.3999999999999986,0.10000000000000142
Eastern Cape,2018-10-01,4264.730953910909,2152.8273099156445,1374.9507759123896,777.876534003256,2111.9036439952624,50.5,32.2,49.520208116743284,36.1,2018,4,Q4 2018,0.5,1.0
Eastern Cape,2019-01-01,4276.861897181543,2088.709345019183,1307.5270891411349,781.1822558780473,2188.1525521623757,48.8,30.6,51.162572109357704,37.4,2019,1,Q1 2019,1.2999999999999972,1.7999999999999972
Eastern Cape,2019-04-01,4289.109245727626,2147.986826513842,1387.6660813235092,760.3207451903318,2141.1224192137556,50.1,32.4,49.91997863765156,35.4,2019,2,Q2 2019,-2.0,1.1999999999999957
