province,date,year,quarter,quarter_label,neet_thousands
Western Cape,2012-07-01,2012,3,Q3 2012,709.7869356008363
Western Cape,2012-10-01,2012,4,Q4 2012,683.1758518504002
Western Cape,2013-01-01,2013,1,Q1 2013,696.6632440019991
Western Cape,2013-04-01,2013,2,Q2 2013,697.1575269317002
Western Cape,2013-07-01,2013,3,Q3 2013,664.1959578151001
Western Cape,2013-10-01,2013,4,Q4 2013,637.0709348268009
Western Cape,2014-01-01,2014,1,Q1 2014,658.0844931251999
Western Cape,2014-04-01,2014,2,Q2 2014,723.6052358245
Western Cape,2014-07-01,2014,3,Q3 2014,705.3652249787995
Western Cape,2014-10-01,2014,4,Q4 2014,705.803638796099
Western Cape,2015-01-01,2015,1,Q1 2015,661.0472110445999
Western Cape,2015-04-01,2015,2,Q2 2015,672.0214351419997
Western Cape,2015-07-01,2015,3,Q3 2015,632.4996298990008
Western Cape,2015-10-01,2015,4,Q4 2015,606.7481726615995
Western Cape,2016-01-01,2016,1,Q1 2016,667.9751427984996
Western Cape,2016-04-01,2016,2,Q2 2016,677.6476886626002
Western Cape,2016-07-01,2016,3,Q3 2016,645.256170471
Western Cape,2016-10-01,2016,4,Q4 2016,624.6558284175011
Western Cape,2017-01-01,2017,1,Q1 2017,659.3645832316998
Western Cape,2017-04-01,2017,2,Q2 2017,678.1071233309001
Western Cape,2017-07-01,2017,3,Q3 2017,703.5980740979999
Western Cape,2017-10-01,2017,4,Q4 2017,661.8757217641001
Western Cape,2018-01-01,2018,1,Q1 2018,659.9913345429995
Western Cape,2018-04-01,2018,2,Q2 2018,671.8958182739997
Western Cape,2018-07-01,2018,3,Q3 2018,674.3976028942999
Western Cape,2018-10-01,2018,4,Q4 2018,658.9422098333009
Western Cape,2019-01-01,2019,1,Q1 2019,681.7217429022002
Western Cape,2019-04-01,2019,2,Q2 2019,722.7147234246014
Western Cape,2019-07-01,2019,3,Q3 2019,720.7186902839999
Western Cape,2019-10-01,2019,4,Q4 2019,696.0070345450998
Western Cape,2020-01-01,2020,1,Q1 2020,693.6234569616996
Western Cape,2020-04-01,2020,2,Q2 2020,771.8227936593001
Western Cape,2020-07-01,2020,3,Q3 2020,778.4960828193007
Western Cape,2020-10-01,2020,4,Q4 2020,696.8563327462999
Western Cape,2021-01-01,2021,1,Q1 2021,756.5226505027991
Western Cape,2021-04-01,2021,2,Q2 2021,760.4548361291997
Western Cape,2021-07-01,2021,3,Q3 2021,798.0223235759006
Western Cape,2021-10-01,2021,4,Q4 2021,781.9462856858004
Western Cape,2022-01-01,2022,1,Q1 2022,846.5158309398006
Western Cape,2022-04-01,2022,2,Q2 2022,808.8969111423003
Western Cape,2022-07-01,2022,3,Q3 2022,803.6350945250996
Western Cape,2022-10-01,2022,4,Q4 2022,766.7080403440997
Western Cape,2023-01-01,2023,1,Q1 2023,790.5167082884013
Western Cape,2023-04-01,2023,2,Q2 2023,753.1862996747003
Western Cape,2023-07-01,2023,3,Q3 2023,723.5971283533
Western Cape,2023-10-01,2023,4,Q4 2023,708.7936495308998
Western Cape,2024-01-01,2024,1,Q1 2024,724.1685207016004
Western Cape,2024-04-01,2024,2,Q2 2024,768.1969641204996
Western Cape,2024-07-01,2024,3,Q3 2024,754.5450628951004
Western Cape,2024-10-01,2024,4,Q4 2024,736.623211893
Western Cape,2025-01-01,2025,1,Q1 2025,736.4661274347
Western Cape,2025-04-01,2025,2,Q2 2025,790.5365803783008
Western Cape,2025-07-01,2025,3,Q3 2025,755.0891367416978
Western Cape,2025-10-01,2025,4,Q4 2025,720.7323076103004
Western Cape,2026-01-01,2026,1,Q1 2026,782.1730457781993
Eastern Cape,2012-07-01,2012,3,Q3 2012,975.1860697803878
Eastern Cape,2012-10-01,2012,4,Q4 2012,1049.0075153182001
Eastern Cape,2013-01-01,2013,1,Q1 2013,1056.0443381091984
Eastern Cape,2013-04-01,2013,2,Q2 2013,1060.0827892071995
Eastern Cape,2013-07-01,2013,3,Q3 2013,1057.0426407911993
Eastern Cape,2013-10-01,2013,4,Q4 2013,1027.1485162641984
Eastern Cape,2014-01-01,2014,1,Q1 2014,1054.482245107499
Eastern Cape,2014-04-01,2014,2,Q2 2014,1116.4959756243984
Eastern Cape,2014-07-01,2014,3,Q3 2014,1045.2261168043005
Eastern Cape,2014-10-01,2014,4,Q4 2014,978.8061149836009
Eastern Cape,2015-01-01,2015,1,Q1 2015,1045.4343976624998
Eastern Cape,2015-04-01,2015,2,Q2 2015,1018.0350937732987
Eastern Cape,2015-07-01,2015,3,Q3 2015,999.1866022539995
Eastern Cape,2015-10-01,2015,4,Q4 2015,1001.4571541737997
Eastern Cape,2016-01-01,2016,1,Q1 2016,1082.9659578846984
Eastern Cape,2016-04-01,2016,2,Q2 2016,1039.0614591869996
Eastern Cape,2016-07-01,2016,3,Q3 2016,992.0685078576996
Eastern Cape,2016-10-01,2016,4,Q4 2016,948.3790522329015
Eastern Cape,2017-01-01,2017,1,Q1 2017,1046.8034033138997
Eastern Cape,2017-04-01,2017,2,Q2 2017,1086.8605846428
Eastern Cape,2017-07-01,2017,3,Q3 2017,1068.9713383693988
Eastern Cape,2017-10-01,2017,4,Q4 2017,1086.3241064819
