province,date,year,quarter,quarter_label,projected_rate,projected_rate_upper,projected_rate_lower,is_projection,scenario
Western Cape,2026-04-01,2026,2,Q2 2026,21.59,26.51,16.68,True,Baseline
Western Cape,2026-04-01,2026,2,Q2 2026,21.59,25.03,18.15,True,Optimistic
Western Cape,2026-04-01,2026,2,Q2 2026,21.6,27.98,15.21,True,Pessimistic
Western Cape,2026-07-01,2026,3,Q3 2026,21.6,26.53,16.67,True,Baseline
Western Cape,2026-07-01,2026,3,Q3 2026,21.6,25.05,18.15,True,Optimistic
Western Cape,2026-07-01,2026,3,Q3 2026,21.61,28.01,15.2,True,Pessimistic
Western Cape,2026-10-01,2026,4,Q4 2026,21.61,26.55,16.67,True,Baseline
Western Cape,2026-10-01,2026,4,Q4 2026,21.6,25.06,18.14,True,Optimistic
Western Cape,2026-10-01,2026,4,Q4 2026,21.62,28.04,15.19,True,Pessimistic
Western Cape,2027-01-01,2027,1,Q1 2027,21.62,26.57,16.66,True,Baseline
Western Cape,2027-01-01,2027,1,Q1 2027,21.61,25.08,18.14,True,Optimistic
Western Cape,2027-01-01,2027,1,Q1 2027,21.63,28.07,15.18,True,Pessimistic
Western Cape,2027-04-01,2027,2,Q2 2027,21.63,26.6,16.65,True,Baseline
Western Cape,2027-04-01,2027,2,Q2 2027,21.62,25.1,18.14,True,Optimistic
Western Cape,2027-04-01,2027,2,Q2 2027,21.64,28.1,15.17,True,Pessimistic
Western Cape,2027-07-01,2027,3,Q3 2027,21.63,26.62,16.65,True,Baseline
Western Cape,2027-07-01,2027,3,Q3 2027,21.62,25.12,18.13,True,Optimistic
Western Cape,2027-07-01,2027,3,Q3 2027,21.65,28.13,15.16,True,Pessimistic
Western Cape,2027-10-01,2027,4,Q4 2027,21.64,26.65,16.64,True,Baseline
Western Cape,2027-10-01,2027,4,Q4 2027,21.63,25.13,18.13,True,Optimistic
Western Cape,2027-10-01,2027,4,Q4 2027,21.66,28.17,15.15,True,Pessimistic
Western Cape,2028-01-01,2028,1,Q1 2028,21.65,26.67,16.63,True,Baseline
Western Cape,2028-01-01,2028,1,Q1 2028,21.64,25.15,18.12,True,Optimistic
Western Cape,2028-01-01,2028,1,Q1 2028,21.67,28.2,15.14,True,Pessimistic
Eastern Cape,2026-04-01,2026,2,Q2 2026,45.39,53.62,37.17,True,Baseline
Eastern Cape,2026-04-01,2026,2,Q2 2026,45.33,51.09,39.57,True,Optimistic
Eastern Cape,2026-04-01,2026,2,Q2 2026,45.49,56.19,34.79,True,Pessimistic
Eastern Cape,2026-07-01,2026,3,Q3 2026,45.72,53.97,37.47,True,Baseline
Eastern Cape,2026-07-01,2026,3,Q3 2026,45.59,51.36,39.81,True,Optimistic
Eastern Cape,2026-07-01,2026,3,Q3 2026,45.91,56.64,35.18,True,Pessimistic
Eastern Cape,2026-10-01,2026,4,Q4 2026,46.04,54.32,37.77,True,Baseline
Eastern Cape,2026-10-01,2026,4,Q4 2026,45.85,51.64,40.05,True,Optimistic
Eastern Cape,2026-10-01,2026,4,Q4 2026,46.33,57.09,35.57,True,Pessimistic
Eastern Cape,2027-01-01,2027,1,Q1 2027,46.36,54.66,38.06,True,Baseline
Eastern Cape,2027-01-01,2027,1,Q1 2027,46.1,51.92,40.29,True,Optimistic
Eastern Cape,2027-01-01,2027,1,Q1 2027,46.75,57.54,35.96,True,Pessimistic
Eastern Cape,2027-04-01,2027,2,Q2 2027,46.69,55.01,38.36,True,Baseline
Eastern Cape,2027-04-01,2027,2,Q2 2027,46.36,52.19,40.54,True,Optimistic
Eastern Cape,2027-04-01,2027,2,Q2 2027,47.17,58.0,36.35,True,Pessimistic
Eastern Cape,2027-07-01,2027,3,Q3 2027,47.01,55.36,38.66,True,Baseline
Eastern Cape,2027-07-01,2027,3,Q3 2027,46.62,52.47,40.77,True,Optimistic
Eastern Cape,2027-07-01,2027,3,Q3 2027,47.59,58.45,36.73,True,Pessimistic
Eastern Cape,2027-10-01,2027,4,Q4 2027,47.33,55.71,38.95,True,Baseline
Eastern Cape,2027-10-01,2027,4,Q4 2027,46.88,52.75,41.01,True,Optimistic
Eastern Cape,2027-10-01,2027,4,Q4 2027,48.01,58.91,37.12,True,Pessimistic
Eastern Cape,2028-01-01,2028,1,Q1 2028,47.66,56.07,39.25,True,Baseline
