province,year,unemployment_rate,absorption_rate,employed,labour_force,working_age_population,constant_price_growth_pct,constant_price_rand,current_price_pct,current_price_rand,gdp_per_employed_person
Eastern Cape,2013,29.55,32.0,1294.8103111774649,1838.2840295652627,4043.719431048963,,348091.7844513308,8.00291585674372,309603.20051535545,268836.1232888126
Eastern Cape,2014,29.6,33.125,1349.9995518170094,1918.1306468420753,4077.0836933662276,0.767721862184545,350764.16118103196,8.002690971841691,330821.072367477,259825.39083729827
Eastern Cape,2015,28.825,33.475,1376.6485257998772,1934.6646135153346,4110.541610538256,0.9461861789800574,354083.04319494223,8.009492751971596,354083.0606697101,257206.56838622523
Eastern Cape,2016,28.45,33.775000000000006,1401.5049619074175,1958.7683218927507,4148.514858408891,0.7556836736122063,356758.7909433957,7.962401193943087,378974.94064006,254554.06911856722
Eastern Cape,2017,34.3,33.775,1417.3080374727083,2157.7601219160906,4196.667788912006,0.5067838331074714,358566.7868190865,7.94325220479666,403373.43315078196,252991.4297660159
Eastern Cape,2018,35.375,32.775000000000006,1391.0301827206038,2152.8516391653457,4246.375885018531,1.0973368940040418,362500.5,7.848324855392235,420920.60728789994,260598.58693433562
Eastern Cape,2019,37.2,31.925,1370.4146500642034,2183.0549215708807,4294.977293004578,0.06509314518461373,362737.4360702623,7.772694283544422,437230.1087010105,264691.73841163196
Eastern Cape,2020,42.775,28.775,1249.7734727648226,2196.3063430675797,4344.510374051213,-5.96680282873534,341093.6084739398,7.675248126623216,426955.6165805607,272924.34661727335
Eastern Cape,2021,45.825,28.5,1249.8635018740456,2307.3981681432992,4389.852908691649,5.202559736474099,358839.2020366005,7.628792455825079,473507.0991879728,287102.712815085
Eastern Cape,2022,42.825,30.2,1343.8850140813233,2349.8947715085715,4447.2975408199445,2.258490048405015,366943.5497043731,7.520607456567153,501367.38595786615,273046.8350041204
Eastern Cape,2023,40.1,31.475,1417.8378330520568,2366.2932321324897,4504.442961134456,0.749610691318936,369694.1977840623,7.615752199435605,535971.8458283163,260745.05078500664
Eastern Cape,2024,39.3,30.825000000000003,1404.831155775013,2314.973421632813,4559.261169981079,-0.15080954404649294,369136.6636500178,7.579063081771383,557246.7844137101,262762.29860973835
Free State,2013,32.675,40.6,748.2215237752281,1111.0104413987392,1843.1745623787128,,213388.85264961375,4.944314585827481,191277.23538877678,285194.75298296486
Free State,2014,34.125,40.35,748.9118777825321,1136.4910217720828,1856.7056190791548,1.8617794893400985,217361.6825407824,4.889217421838357,202114.044514364,290236.66066610254
Free State,2015,30.775,43.05,805.1012305460683,1163.3380811264537,1870.198020760979,-0.27138768626771004,216771.799699702,4.903460099479528,216771.79987061303,269247.8802357242
Free State,2016,33.75,41.525,781.3315104877963,1179.2213968147128,1882.597933486669,-0.04126947834792727,216682.32911288788,4.909071147588636,233649.998947762,277324.44705527107
Free State,2017,33.575,41.95,792.5945633783379,1193.0358272414207,1889.245886669796,1.536964162143284,220012.66885705,4.9022459206170605,248945.35842064957,277585.3873123641
Free State,2018,34.099999999999994,41.9,795.6535609054648,1207.5844141932012,1898.514308511492,0.7060910839395307,221565.5,4.860410025302197,260673.0451674394,278469.81511382334
Free State,2019,34.7,41.85,797.7866361867974,1221.5494336263375,1906.8422760636302,-0.05753491853286441,221438.67072167055,4.926107989916108,277103.74978517275,277566.28235851007
Free State,2020,33.15,37.4,715.4751672647618,1080.2078152673002,1914.1289501765064,-5.8379948037016405,208511.09263155345,4.982124377910311,277143.611588697,291430.23010663607
Free State,2021,36.725,37.4,718.1221442779744,1135.1321828429154,1920.724749322642,4.213963392033748,217297.96057105868,5.009598730186696,310937.88126523443,302591.92297925556
Free State,2022,32.975,41.225,794.9932779166757,1186.2207348777326,1928.0250889029276,2.0431934582158418,221737.77828628296,4.974487197872064,331628.2171728208,278917.8027609984
Free State,2023,36.65,38.65,747.2572243817424,1179.292255549178,1934.514356545447,0.21654831525683704,222217.94770944983,4.918651934239483,346158.70988774084,297378.1188844392
Free State,2024,37.375,38.825,753.1064527256052,1202.3759901286005,1939.6787028150306,0.4836790697449578,223292.76941173724,4.963227609013325,364918.8027063645,296495.6263534952
Gauteng,2013,24.9,52.5,4782.049928025296,6369.052477607659,9113.899976074908,,1437069.99474183,33.19939502012868,1284361.7423197094,300513.381577188
Gauteng,2014,24.900000000000002,51.675,4824.414614797798,6423.367929268674,9331.618494740065,1.6675866280989382,1461033.88363939,33.448701336684245,1382727.0137968,302841.6917480517
Gauteng,2015,27.85,52.3,4995.277859009722,6923.2380945654295,9552.525790567068,1.1852833120333361,1478351.49444532,33.44086664783228,1478351.3489287288,295949.80222749664
Gauteng,2016,29.35,51.2,5004.123430604361,7081.6755635853,9773.845672387652,1.2774153849095526,1497235.9610680914,33.4214479199226,1590711.74516456,299200.4457586424
Gauteng,2017,29.6,50.825,5075.491323925542,7209.841599824815,9982.508692369458,1.0161640862726529,1512450.49519122,33.42519596455237,1697394.53375488,297990.9527303544
Gauteng,2018,29.225,49.975,5091.035753165808,7196.0811583093455,10184.587474281872,2.046682539408473,1543404.49,33.4737270368088,1795259.7238431708,303161.19643046113
Gauteng,2019,30.45,49.075,5096.542065243226,7330.401944190308,10384.352855680212,0.5964314237650425,1552610.54687349,33.62173889042718,1891292.2615393193,304639.99452919135
Gauteng,2020,31.4,44.2,4670.821899327139,6825.232285474333,10576.52832092603,-7.253175128255962,1439997.170342632,33.21069018953259,1847430.9198882203,308296.31302149897
Gauteng,2021,35.85,42.325,4561.581383001811,7109.834421478843,10774.648026920642,4.442808486088534,1503973.9770210583,32.74725817063417,2032570.5952187416,329704.51489157643
Gauteng,2022,34.7,43.825,4800.110914047822,7348.442703393217,10951.599752220387,2.827995455696053,1546506.2927460652,32.945102212409644,2196311.916523049,322181.36631387385
Gauteng,2023,34.05,45.0,5006.532915453009,7592.356997385859,11125.465804252046,0.9342285838137121,1560954.1965833767,33.30377253576775,2343811.086758398,311783.46830905357
Gauteng,2024,34.425,44.9,5070.366919680868,7731.252757243357,11295.462579096325,0.7812432391192781,1573149.0457099332,33.213693825060915,2442020.0601089257,310263.3538420427
KwaZulu-Natal,2013,20.8,38.225,2490.002322074313,3143.6203492773675,6514.284913613806,,703097.9134058034,16.296589104140732,630454.7285567211,282368.37659656594
KwaZulu-Natal,2014,22.325,37.6,2486.581265189738,3201.263410407041,6607.640545507533,1.966954956577105,716927.522663129,16.33154692618251,675125.504591189,288318.5571690632
KwaZulu-Natal,2015,21.25,38.05,2550.890379222919,3239.310521989579,6702.7474828463955,1.2085343533915438,725591.998184285,16.413162819338538,725591.8828206823,284446.5619119718
KwaZulu-Natal,2016,23.275,36.85,2507.6130371832146,3269.4528831998427,6802.328322414147,0.7702439270512063,731180.6753301034,16.4543743471714,783154.941067495,291584.33318381285
KwaZulu-Natal,2017,24.625,36.875,2546.807119312433,3378.017783824372,6907.582636442439,1.5708290745746645,742666.29396586,16.535562724191408,839707.2802383632,291606.8077296561
KwaZulu-Natal,2018,23.175,37.475,2629.5979974602087,3424.4461250589534,7015.015908586007,1.4736478909895157,753610.5,16.50511870288001,885200.9461613859,286587.7220502423
KwaZulu-Natal,2019,25.525,37.125,2642.676399908952,3549.053716604881,7121.745582651798,0.1621842374820215,754832.697389324,16.328660994976953,918520.9093956667,285631.90612945653
KwaZulu-Natal,2020,25.45,33.95,2453.0580026600724,3305.0291331343738,7227.252923260608,-4.948985233058545,717476.2337122435,16.15089421843525,898435.4493296698,292482.37625617464
KwaZulu-Natal,2021,31.025,32.65,2392.7576181262216,3471.6676134010795,7330.129765575157,4.556952625935096,750171.7757834037,15.823301277751673,982127.3197548543,313517.66267528024
KwaZulu-Natal,2022,31.975,33.4,2482.809853762394,3649.1106607544966,7436.982433044971,1.1208853364656157,758580.3412164635,15.871308847296069,1058073.656211142,305532.9992616744
